Descripcion_1,Descripcion_2,precio,mt2,ubicacion
Lote,Lote,$ 105.000,Número de pisos-Superficie total: 105 m²-Antigüedad: 30-Estado del inmueble: Regular-Superficie cubierta: 105 m²-Cantidad plantas-Niveles construidos-Superficie del terreno (m²): 596-,"https://www.google.com/maps/@-0.2185488391571878,-78.49711510572047,13z?hl=es-ES&gl=US"
Oficina/Consultorio,Oficina/Consultorio,$ 59.900,Cantidad plantas: 10-Superficie total: 90 m²-Antigüedad: 15-Niveles construidos: 10-Número de pisos: 10-Superficie del terreno (m²): 90-Estado del inmueble: Muy Bueno-Superficie cubierta: 90 m²-,Nada
Otro,Otro,$ 300.000,Nada,"https://www.google.com/maps/@-0.1849474976508086,-78.49941124894035,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 109.000,64 m² Totales,"https://www.google.com/maps/@-0.1770385300866455,-78.49399653706182,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 80.000,Superficie del terreno (m²): 94-Superficie total: 94 m²-Antigüedad: 15-Superficie cubierta: 94 m²-,"https://www.google.com/maps/@-0.153599199604941,-78.4976395541134,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 80.000,Cantidad plantas: 4-Superficie cubierta: 80.80 m²-Niveles construidos: 4-Número de pisos: 4-Superficie del terreno (m²): 80.80-Superficie total: 80.80 m²-Antigüedad: 5-Estado del inmueble: Muy Bueno-,"https://www.google.com/maps/@-0.1200718018028997,-78.47580716050031,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 215.000,Nada,"https://www.google.com/maps/@-0.1371165369440809,-78.47342818771178,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 158.000,Nada,"https://www.google.com/maps/@-0.1723394241760774,-78.4982470577426,13z?hl=es-ES&gl=US"
Casa,Casa,$ 219.000,Nada,"https://www.google.com/maps/@-0.2755538942499989,-78.46753970322236,13z?hl=es-ES&gl=US"
Casa,Casa,$ 380.000,Antigüedad: 30-Superficie del terreno (m²): 2800-Superficie total: 300 m²-Niveles construidos: 2-Permite mascotas-Cantidad plantas: 2-Número de pisos: 2-Superficie cubierta: 300 m²-,"https://www.google.com/maps/@-0.286890362447621,-78.43921282575367,13z?hl=es-ES&gl=US"
Casa,Casa,$ 129.750,Nada,"https://www.google.com/maps/@-0.2124838346627487,-78.41308603767034,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 120.000,Superficie total: 60 m²-Antigüedad: 3-Superficie del terreno (m²): 60-Superficie cubierta: 60 m²-,"https://www.google.com/maps/@-0.1835800323841705,-78.48145635901123,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 75.000,Nada,"https://www.google.com/maps/@-0.120455094181604,-78.4791606781938,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 108.000,Cantidad plantas: 6-Estado del inmueble: Excelente-Superficie del terreno (m²): 105-Superficie total: 87 m²-Superficie cubierta: 87 m²-Niveles construidos: 6-Antigüedad: 4-Número de pisos: 6-,"https://www.google.com/maps/@-0.1890255965918748,-78.47112365398809,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 150.000,Nada,"https://www.google.com/maps/@-0.187433972253357,-78.48188099446486,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 130.000,Superficie total: 64 m²-Antigüedad-Superficie del terreno (m²): 64-Estado del inmueble: Nuevo-Cantidad plantas: 13-Número de pisos: 13-Permite mascotas-Superficie cubierta: 64 m²-Niveles construidos: 13-,"https://www.google.com/maps/@-0.187433972253357,-78.48188099446486,13z?hl=es-ES&gl=US"
Casa,Casa,$ 498.000,Nada,"https://www.google.com/maps/@-0.1441311431778804,-78.45543706457924,13z?hl=es-ES&gl=US"
Casa,Casa,$ 78.000,Nada,"https://www.google.com/maps/@-0.3173243843041251,-78.57104945817005,13z?hl=es-ES&gl=US"
Casa,Casa,$ 165.000,Nada,"https://www.google.com/maps/@-0.2539471778798021,-78.48361038797457,13z?hl=es-ES&gl=US"
Oficina/Consultorio,Oficina/Consultorio,$ 35.000,Nada,"https://www.google.com/maps/@-0.1156805249008027,-78.49448302584263,13z?hl=es-ES&gl=US"
Casa,Casa,$ 105.000,Estado del inmueble: Muy Bueno-Superficie del terreno (m²): 149-Antigüedad: 15-Superficie cubierta: 124 m²-Superficie total: 124 m²-,"https://www.google.com/maps/@-0.1339720751337277,-78.504185958107,13z?hl=es-ES&gl=US"
Casa,Casa,$ 115.000,Antigüedad: 7-Cantidad plantas: 2-Superficie del terreno (m²): 155-Superficie total: 117 m²-Superficie cubierta: 117 m²-Niveles construidos: 2-Número de pisos: 2-Estado del inmueble: Excelente-,"https://www.google.com/maps/@-0.27039983829395,-78.46986245217727,13z?hl=es-ES&gl=US"
Casa,Casa,$ 102.900,Nada,"https://www.google.com/maps/@-0.3005218069618661,-78.4744899866705,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 90.000,Cantidad plantas-Niveles construidos-Número de pisos-Estado del inmueble: Excelente-Antigüedad: 17-Permite mascotas-Superficie total: 64.35 m²-Superficie cubierta: 64.35 m²-Superficie del terreno (m²): 64-,"https://www.google.com/maps/@-0.1773786911624445,-78.47347614407744,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 97.000,Antigüedad: 2022-Superficie cubierta: 97 m²-Superficie del terreno (m²): 97-Superficie total: 97 m²-,"https://www.google.com/maps/@-0.1973169347647184,-78.47887234868448,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 90.000,Número de pisos: 7-Superficie total: 80 m²-Estado del inmueble: Muy Bueno-Antigüedad: 11-Cantidad plantas: 7-Niveles construidos: 7-Permite mascotas-Superficie cubierta: 80 m²-,"https://www.google.com/maps/@-0.1492596184611348,-78.49815489637214,13z?hl=es-ES&gl=US"
Casa,Casa,$ 78.000,Estado del inmueble: Bueno-Superficie cubierta: 114.77 m²-Superficie del terreno (m²): 141.87-Superficie total: 114.77 m²-Antigüedad: 10-,"https://www.google.com/maps/@-0.1036602780735315,-78.46173934411098,13z?hl=es-ES&gl=US"
Casa,Casa,$ 65.000,Cantidad plantas: 3-Niveles construidos: 3-Estado del inmueble: Bueno-Superficie del terreno (m²): 105.6-Superficie cubierta: 94.1 m²-Número de pisos: 3-Superficie total: 94.1 m²-Antigüedad: 18-,"https://www.google.com/maps/@-0.2970320275477438,-78.46136666324746,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 115.000,Superficie del terreno (m²): 1000-Superficie total: 117 m²-Estado del inmueble: Muy Bueno-Niveles construidos: 6-Superficie cubierta: 117 m²-Antigüedad: 21-Cantidad plantas: 6-Número de pisos: 6-,"https://www.google.com/maps/@-0.1713397744759561,-78.49375827722795,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 170.000,Nada,Nada
Casa,Casa,$ 130.000,Nada,"https://www.google.com/maps/@-0.0890542302941855,-78.4800184645033,13z?hl=es-ES&gl=US"
Casa,Casa,$ 59.000,Nada,"https://www.google.com/maps/@-0.2519990210245184,-78.51262875697408,13z?hl=es-ES&gl=US"
Local,Local,$ 50.000,Nada,"https://www.google.com/maps/@-0.1999775444329758,-78.48507988115219,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 240.000,Estado del inmueble: Nuevo-Permite mascotas-Superficie total: 117 m²-Antigüedad-Superficie cubierta: 117 m²-Cantidad plantas: 13-Niveles construidos: 13-Número de pisos: 13-Superficie del terreno (m²): 117-,"https://www.google.com/maps/@-0.187433972253357,-78.48188099446486,13z?hl=es-ES&gl=US"
Casa,Casa,$ 1.250.000,Nada,Nada
Casa,Casa,Nada,Superficie del terreno (m²): 1060-Número de pisos-Estado del inmueble: Excelente-Niveles construidos-Superficie total: 166 m²-Antigüedad: 4-Cantidad plantas-Superficie cubierta: 166 m²-Permite mascotas-,Nada
Departamento,Departamento,$ 154.000,Número de pisos: 13-Superficie total: 80 m²-Antigüedad-Niveles construidos: 13-Permite mascotas-Cantidad plantas: 13-Superficie cubierta: 80 m²-Superficie del terreno (m²): 80-Estado del inmueble: Nuevo-,"https://www.google.com/maps/@-0.187433972253357,-78.48188099446486,13z?hl=es-ES&gl=US"
Casa,Casa,$ 240.000,Nada,"https://www.google.com/maps/@-0.1728043181805888,-78.48577269556993,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 70.000,Nada,"https://www.google.com/maps/@-0.1523676331190779,-78.48082248086556,13z?hl=es-ES&gl=US"
Casa,Casa,$ 80.000,Superficie del terreno (m²): 118-Superficie total: 118 m²-Antigüedad: 18-Superficie cubierta: 118 m²-,"https://www.google.com/maps/@-0.1518243335269311,-78.50213163128147,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 270.000,Nada,"https://www.google.com/maps/@-0.1906118031835676,-78.48324385681232,13z?hl=es-ES&gl=US"
Casa,Casa,$ 295.000,Nada,"https://www.google.com/maps/@-0.2746821624775527,-78.46099320044615,13z?hl=es-ES&gl=US"
Casa,Casa,$ 55.000,Superficie del terreno (m²): 72-Antigüedad: 8-Superficie cubierta: 103 m²-Permite mascotas-Superficie total: 103 m²-Estado del inmueble: Muy Bueno-Cantidad plantas: 2-Niveles construidos: 2-Número de pisos: 2-,"https://www.google.com/maps/@-0.01715849677208579,-78.45171430197286,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 149.000,65 m² Totales,"https://www.google.com/maps/@-0.1725681817742039,-78.47566025947516,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 63.000,Superficie total: 89 m²-Antigüedad: 25-Superficie cubierta: 89 m²-Superficie del terreno (m²): 101-,"https://www.google.com/maps/@-0.1482900834248639,-78.46346092645335,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 55.000,Nada,Nada
Departamento,Departamento,$ 213.000,Nada,Nada
Departamento,Departamento,$ 50.000,Nada,"https://www.google.com/maps/@-0.04007529562992741,-78.45489696015161,13z?hl=es-ES&gl=US"
Casa,Casa,$ 70.000,Nada,"https://www.google.com/maps/@-0.2278910756335586,-78.48229262122231,13z?hl=es-ES&gl=US"
Casa,Casa,$ 95.000,Estado del inmueble: Muy Bueno-Superficie cubierta: 110 m²-Superficie del terreno (m²): 140-Superficie total: 110 m²-Número de pisos: 2-Antigüedad: 5-Cantidad plantas: 2-Niveles construidos: 2-,"https://www.google.com/maps/@-0.08279377240597878,-78.43714799528236,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 67.000,Superficie del terreno (m²): 67-Antigüedad: 10-Superficie cubierta: 67 m²-Superficie total: 67 m²-Estado del inmueble: Muy Bueno-,"https://www.google.com/maps/@-0.1710555758197129,-78.47845108263056,13z?hl=es-ES&gl=US"
Casa,Casa,$ 117.000,Nada,"https://www.google.com/maps/@-0.3303406179269072,-78.45110253121258,13z?hl=es-ES&gl=US"
Casa,Casa,$ 9.700.300,77 m² Totales,"https://www.google.com/maps/@-0.1630673934497233,-78.47727902078219,13z?hl=es-ES&gl=US"
Casa,Casa,$ 1.250.000,180 m² Totales,"https://www.google.com/maps/@-0.1736660629096703,-78.47580559956963,13z?hl=es-ES&gl=US"
Casa,Casa,$ 75.000,Superficie del terreno (m²): 211-Número de pisos: 2-Estado del inmueble: Bueno-Cantidad plantas: 2-Niveles construidos: 2-Antigüedad: 2000-Superficie cubierta: 125.07 m²-Superficie total: 125.07 m²-,"https://www.google.com/maps/@-0.00216435992586711,-78.45583512978922,13z?hl=es-ES&gl=US"
Oficina/Consultorio,Oficina/Consultorio,$ 95.000,Cantidad plantas: 10-Número de pisos: 10-Superficie total: 86 m²-Superficie cubierta: 86 m²-Superficie del terreno (m²): 86-Estado del inmueble: Muy Bueno-Antigüedad: 15-Niveles construidos: 10-,"https://www.google.com/maps/@-0.1806463239780419,-78.45579398122786,13z?hl=es-ES&gl=US"
Local,Local,Nada,59 m² Totales,"https://www.google.com/maps/@-0.2172469013300372,-78.41088921972927,13z?hl=es-ES&gl=US"
Oficina/Consultorio,Oficina/Consultorio,$ 80.000,Nada,"https://www.google.com/maps/@-0.1887674247900649,-78.4802106242967,13z?hl=es-ES&gl=US"
Casa,Casa,$ 79.900,Permite mascotas-Superficie del terreno (m²): 50-Cantidad plantas: 2-Superficie total: 98 m²-Superficie cubierta: 98 m²-Niveles construidos: 2-Número de pisos: 2-,Nada
Casa,Casa,$ 172.000,Nada,Nada
Departamento,Departamento,$ 290.000,Estado del inmueble: Excelente-Cantidad plantas: 8-Niveles construidos: 8-Superficie del terreno (m²): 1200-Superficie total: 198.5 m²-Antigüedad: 7-Superficie cubierta: 198.5 m²-Número de pisos: 8-,"https://www.google.com/maps/@-0.1870726750964954,-78.47569026407011,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 68.000,Nada,"https://www.google.com/maps/@-0.1031483665044427,-78.51048981909963,13z?hl=es-ES&gl=US"
Casa,Casa,$ 88.000,Nada,"https://www.google.com/maps/@-0.1393510007964485,-78.50575753866214,13z?hl=es-ES&gl=US"
Casa,Casa,$ 170.000,Superficie del terreno (m²): 282-Superficie total: 282 m²-Superficie cubierta: 282 m²-Niveles construidos: 3-Cantidad plantas: 3-Número de pisos: 3-Estado del inmueble: Muy Bueno-Antigüedad: 17-,Nada
Casa,Casa,$ 89.500,Nada,"https://www.google.com/maps/@-0.1415261949643279,-78.4632587612846,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 79.000,Nada,"https://www.google.com/maps/@-0.1864778901331367,-78.47952531630065,13z?hl=es-ES&gl=US"
Casa,Casa,$ 1.150.000,Estado del inmueble: Excelente-Superficie del terreno (m²): 1421-Superficie cubierta: 636.76 m²-Niveles construidos: 2-Antigüedad: 7-Cantidad plantas: 2-Número de pisos: 2-Superficie total: 636.76 m²-,"https://www.google.com/maps/@-0.1914856642891189,-78.4238644031972,13z?hl=es-ES&gl=US"
Lote,Lote,$ 179.000,Nada,Nada
Departamento,Departamento,$ 150.000,Estado del inmueble: Nuevo-Superficie cubierta: 84 m²-Superficie total: 84 m²-Permite mascotas-Antigüedad: 2-Superficie del terreno (m²): 84-,"https://www.google.com/maps/@-0.1849092804040636,-78.48038466040356,13z?hl=es-ES&gl=US"
Otro,Otro,$ 430.000,Antigüedad: 2003-Superficie total: 150 m²-Cantidad plantas: 2-Superficie del terreno (m²): 4380-Superficie cubierta: 150 m²-Permite mascotas-Niveles construidos: 2-Número de pisos: 2-,"https://www.google.com/maps/@-0.283399706813977,-78.44741083815275,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 103.000,Cantidad plantas: 6-Número de pisos: 6-Niveles construidos: 6-Antigüedad: 5-Superficie cubierta: 83 m²-Superficie del terreno (m²): 70-Superficie total: 83 m²-Estado del inmueble: Excelente-,"https://www.google.com/maps/@-0.1875895733198745,-78.47546505595568,13z?hl=es-ES&gl=US"
Casa,Casa,$ 360.000,Superficie total: 400 m²-Cantidad plantas: 2-Niveles construidos: 2-Permite mascotas-Superficie del terreno (m²): 800-Número de pisos: 2-Antigüedad: 2012-Superficie cubierta: 400 m²-,Nada
Departamento,Departamento,$ 79.900,Nada,"https://www.google.com/maps/@-0.08841725197874489,-78.46350420414448,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 312.493,Superficie total: 143.50 m²-Superficie del terreno (m²): 153.22-Permite mascotas-Superficie cubierta: 143.50 m²-,"https://www.google.com/maps/@-0.1997627022147462,-78.44721636134337,13z?hl=es-ES&gl=US"
Casa,Casa,$ 185.000,Nada,Nada
Casa,Casa,$ 1.000.000,Superficie cubierta: 537.61 m²-Cantidad plantas: 2-Antigüedad: 12-Número de pisos: 2-Niveles construidos: 2-Superficie del terreno (m²): 1112.45-Superficie total: 537.61 m²-,"https://www.google.com/maps/@-0.1914856642891189,-78.4238644031972,13z?hl=es-ES&gl=US"
Casa,Casa,$ 56.990,Nada,"https://www.google.com/maps/@-0.07927334033689479,-78.41776421738692,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 280.000,Nada,"https://www.google.com/maps/@-0.195145143224575,-78.48078380636686,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 137.000,Nada,"https://www.google.com/maps/@-0.1688779900493201,-78.46886251710202,13z?hl=es-ES&gl=US"
Casa,Casa,$ 139.000,Antigüedad: 10-Superficie cubierta: 200 m²-Cantidad plantas: 2-Superficie del terreno (m²): 400-Niveles construidos: 2-Número de pisos: 2-Superficie total: 200 m²-,"https://www.google.com/maps/@-0.2987395786140354,-78.50655042859172,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 220.000,Nada,"https://www.google.com/maps/@-0.08681681889302405,-78.44616971932288,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 165.000,Antigüedad-Superficie cubierta: 145 m²-Superficie del terreno (m²): 165-Superficie total: 145 m²-,Nada
Departamento,Departamento,$ 188.000,Nada,"https://www.google.com/maps/@-0.1914596471887785,-78.49138171758472,13z?hl=es-ES&gl=US"
Casa,Casa,$ 80.000,Nada,"https://www.google.com/maps/@-0.1393927597370418,-78.50515354761865,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 144.000,Nada,"https://www.google.com/maps/@-0.1706970412552591,-78.49476350798092,13z?hl=es-ES&gl=US"
Casa,Casa,$ 130.000,Número de pisos: 3-Superficie del terreno (m²): 247-Antigüedad: 4-Superficie cubierta: 247 m²-Cantidad plantas: 3-Niveles construidos: 3-Superficie total: 247 m²-,Nada
Departamento,Departamento,$ 182.000,Niveles construidos-Superficie cubierta: 168 m²-Número de pisos-Superficie del terreno (m²): 168-Superficie total: 168 m²-Antigüedad: 8-Cantidad plantas-,Nada
Oficina/Consultorio,Oficina/Consultorio,$ 125.000,Nada,Nada
Oficina/Consultorio,Oficina/Consultorio,$ 96.530,Superficie cubierta: 46 m²-Permite mascotas-Superficie del terreno (m²): 46-Superficie total: 46 m²-Estado del inmueble: Nuevo-Antigüedad-,"https://www.google.com/maps/@-0.1728004450257882,-78.48038179882573,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 175.000,Superficie del terreno (m²): 70-Superficie total: 70 m²-Antigüedad: 5-Superficie cubierta: 70 m²-,"https://www.google.com/maps/@-0.1868261311975399,-78.47579189806598,13z?hl=es-ES&gl=US"
Casa,Casa,Nada,204 m² Totales,"https://www.google.com/maps/@-0.3102449322108283,-78.5641050887079,13z?hl=es-ES&gl=US"
Casa,Casa,$ 114.040,127 m² Totales,"https://www.google.com/maps/@-0.2027891014801405,-78.38446012263535,13z?hl=es-ES&gl=US"
Casa,Casa,$ 87.000,98 m² Totales,Nada
Casa,Casa,$ 119.900,81 m² Totales,Nada
Departamento,Departamento,$ 115.000,67 m² Totales,Nada
Casa,Casa,$ 124.500,141 m² Totales,"https://www.google.com/maps/@-0.2132321154277053,-78.39084669643523,13z?hl=es-ES&gl=US"
Casa,Casa,$ 80.000,98 m² Totales,Nada
Casa,Casa,$ 44.300,42 m² Totales,Nada
Casa,Casa,$ 65.000,89 m² Totales,"https://www.google.com/maps/@-0.07275028480058744,-78.42300111361932,13z?hl=es-ES&gl=US"
Casa,Casa,$ 190.000,127 m² Totales,"https://www.google.com/maps/@-0.2027891014801405,-78.38446012263535,13z?hl=es-ES&gl=US"
Casa,Casa,$ 114.041,127 m² Totales,"https://www.google.com/maps/@-0.2027891014801405,-78.38446012263535,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 159.089,564 m² Totales,"https://www.google.com/maps/@-0.1930361210690102,-78.50000235611381,13z?hl=es-ES&gl=US"
Casa,Casa,$ 119.900,81 m² Totales,Nada
Casa,Casa,$ 56.970,55 m² Totales,"https://www.google.com/maps/@-0.004473053323498403,-78.43665064963436,13z?hl=es-ES&gl=US"
Casa,Casa,$ 114.040,127 m² Totales,"https://www.google.com/maps/@-0.2031720566582328,-78.38412969103379,13z?hl=es-ES&gl=US"
Casa,Casa,$ 124.500,141 m² Totales,"https://www.google.com/maps/@-0.2132321154277053,-78.39084669643523,13z?hl=es-ES&gl=US"
Casa,Casa,Nada,55 m² Totales,"https://www.google.com/maps/@-0.004473053323498403,-78.43665064963436,13z?hl=es-ES&gl=US"
Casa,Casa,$ 68.990,89 m² Totales,"https://www.google.com/maps/@-0.07275028480058744,-78.42300111361932,13z?hl=es-ES&gl=US"
Casa,Casa,$ 69.930,100 m² Totales,"https://www.google.com/maps/@-0.1063298284945425,-78.41648369370604,13z?hl=es-ES&gl=US"
Casa,Casa,$ 44.300,42 m² Totales,Nada
Casa,Casa,$ 74.990,100 m² Totales,"https://www.google.com/maps/@-0.1063298284945425,-78.41648369370604,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 140.000,Superficie cubierta: 210 m²-Antigüedad: 10-Niveles construidos: 4-Superficie del terreno (m²): 210-Cantidad plantas: 4-Estado del inmueble: Excelente-Número de pisos: 4-Permite mascotas-Superficie total: 210 m²-,Nada
Departamento,Departamento,$ 165.000,Estado del inmueble: Excelente-Superficie del terreno (m²): 186-Superficie total: 186 m²-Superficie cubierta: 186 m²-Permite mascotas-Antigüedad: 16-,Nada
Casa,Casa,$ 105.000,Nada,"https://www.google.com/maps/@-0.3041497078965969,-78.45059076780599,13z?hl=es-ES&gl=US"
Local,Local,$ 1.800.000,2840 m² Totales,"https://www.google.com/maps/@-0.1772866036606028,-78.4747248227789,13z?hl=es-ES&gl=US"
Oficina/Consultorio,Oficina/Consultorio,$ 65.000,Nada,"https://www.google.com/maps/@-0.1951990790730872,-78.4862020820664,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 43.990,60 m² Totales,"https://www.google.com/maps/@-0.07686500044858294,-78.42269214962475,13z?hl=es-ES&gl=US"
Casa,Casa,$ 62.800,70 m² Totales,"https://www.google.com/maps/@-0.07374970385547037,-78.42216141654792,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 129.900,72 m² Totales,"https://www.google.com/maps/@-0.1632000642609778,-78.46292199190631,13z?hl=es-ES&gl=US"
Casa,Casa,$ 98.000,Nada,"https://www.google.com/maps/@-0.07667212217803217,-78.42101144208362,13z?hl=es-ES&gl=US"
Casa,Casa,$ 300.000,250 m² Totales,"https://www.google.com/maps/@-0.1963280874184664,-78.50695710087672,13z?hl=es-ES&gl=US"
Oficina/Consultorio,Oficina/Consultorio,$ 143.000,Superficie total: 84 m²-Antigüedad: 5-Superficie cubierta: 84 m²-Superficie del terreno (m²): 84-,"https://www.google.com/maps/@-0.1823928294614904,-78.47865755350965,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 43.990,60 m² Totales,"https://www.google.com/maps/@-0.07686500044858294,-78.42269214962475,13z?hl=es-ES&gl=US"
Casa,Casa,$ 62.800,70 m² Totales,"https://www.google.com/maps/@-0.07374970385547037,-78.42216141654792,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 95.000,Permite mascotas-Estado del inmueble: Nuevo-Superficie del terreno (m²): 83-Superficie total: 83 m²-Superficie cubierta: 83 m²-,"https://www.google.com/maps/@-0.1938668137433747,-78.49408055213229,13z?hl=es-ES&gl=US"
Penthouse,Penthouse,$ 450.000,305 m² Totales,"https://www.google.com/maps/@-0.1630673934497233,-78.47727902078219,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 279.000,Superficie del terreno (m²): 140 m²-Antigüedad: 5-Superficie cubierta: 140 m²-Superficie total: 140 m²-,"https://www.google.com/maps/@-0.1882940084267786,-78.47603748423195,13z?hl=es-ES&gl=US"
Casa,Casa,$ 75.000,Nada,"https://www.google.com/maps/@-0.111508610282183,-78.4866853131305,13z?hl=es-ES&gl=US"
Casa,Casa,$ 115.000,Nada,"https://www.google.com/maps/@-0.1411468087477996,-78.47078734415894,13z?hl=es-ES&gl=US"
Casa,Casa,$ 65.000,Antigüedad: 20-Superficie cubierta: 90 m²-Superficie del terreno (m²): 140 m²-Estado del inmueble: Bueno-Superficie total: 90 m²-,"https://www.google.com/maps/@-0.0724664172853472,-78.41577713419815,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 579.000,Nada,"https://www.google.com/maps/@-0.1974876575904577,-78.4801799273143,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 500.000,Nada,Nada
Casa,Casa,$ 215.000,Cantidad plantas: 2-Número de pisos: 2-Estado del inmueble: Excelente-Superficie total: 219 m²-Niveles construidos: 2-Permite mascotas-Antigüedad: 30-Superficie cubierta: 219 m²-Superficie del terreno (m²): 324 m²-,Nada
Departamento,Departamento,$ 340.000,Superficie total: 231.40 m²-Superficie cubierta: 231.40 m²-Antigüedad-Estado del inmueble: Excelente-Superficie del terreno (m²): 231.40 m²-,"https://www.google.com/maps/@-0.2014522436154091,-78.48084771466732,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 350.000,Antigüedad: 7-Superficie del terreno (m²): 359 m²-Superficie total: 201 m²-Estado del inmueble: Excelente-Superficie cubierta: 201 m²-,Nada
Casa,Casa,$ 292.700,Superficie total: 420 m²-Antigüedad: 20-Superficie cubierta: 420 m²-Superficie del terreno (m²): 350-,"https://www.google.com/maps/@-0.3487773923191883,-78.4297882825232,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 255.000,Nada,"https://www.google.com/maps/@-0.2063198992072149,-78.4801859973398,13z?hl=es-ES&gl=US"
Casa,Casa,$ 120.000,Permite mascotas-Superficie del terreno (m²): 192-Superficie cubierta: 192 m²-Superficie total: 192 m²-Antigüedad: 13-,"https://www.google.com/maps/@-0.213709537234161,-78.50077691112212,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 70.000,Nada,"https://www.google.com/maps/@-0.2754607858927962,-78.46754464656975,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 155.000,Superficie total: 105 m²-Superficie cubierta: 105 m²-Superficie del terreno (m²): 105 m²-Antigüedad: 3-,"https://www.google.com/maps/@-0.1632000642609778,-78.46292199190631,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 175.000,Nada,"https://www.google.com/maps/@-0.1830171972503976,-78.47594599651676,13z?hl=es-ES&gl=US"
Lote,Lote,$ 411.950,Nada,Nada
Casa,Casa,$ 108.000,Antigüedad: 8-Cantidad plantas-Permite mascotas-Superficie total: 160 m²-Superficie cubierta: 160 m²-Número de pisos-Superficie del terreno (m²): 858 m²-Niveles construidos-,"https://www.google.com/maps/@-0.27039983829395,-78.46986245217727,13z?hl=es-ES&gl=US"
Casa,Casa,$ 370.000,Antigüedad: 30-Superficie del terreno (m²): 819 m²-Cantidad plantas: 2-Niveles construidos: 2-Superficie cubierta: 360 m²-Número de pisos: 2-Superficie total: 360 m²-,"https://www.google.com/maps/@-0.1592042619486735,-78.5033259478748,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 97.999,Nada,"https://www.google.com/maps/@-0.150472343754147,-78.47164390004271,13z?hl=es-ES&gl=US"
Departamento,Departamento,Nada,Nada,"https://www.google.com/maps/@-0.1933623486339913,-78.48635798568182,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 198.000,Nada,"https://www.google.com/maps/@-0.1968152445837275,-78.47878537273562,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 230.000,Número de pisos: 6-Cantidad plantas: 6-Niveles construidos: 6-Antigüedad: 40-Superficie total: 191 m²-Estado del inmueble: Muy Bueno-Superficie cubierta: 191 m²-Superficie del terreno (m²): 191 m²-,"https://www.google.com/maps/@-0.2035021275999379,-78.48544380440667,13z?hl=es-ES&gl=US"
Departamento,Departamento,$ 169.000,Superficie total: 270 m²-Número de pisos: 9-Estado del inmueble: Muy Bueno-Cantidad plantas: 9-Superficie del terreno (m²): 270 m²-Antigüedad: 28-Permite mascotas-Superficie cubierta: 270 m²-Niveles construidos: 9-,"https://www.google.com/maps/@-0.1948928545136314,-78.47783210106866,13z?hl=es-ES&gl=US"
Casa,Casa,$ 100.000,Nada,Nada
